,run,rho,number of servers,number of customers,mean waiting time
0,0,0.7,2,100,0.565794639835305
1,0,0.7,2,200,0.5484239029225999
2,0,0.7,2,300,0.5190768001597527
3,0,0.7,2,400,0.5843618785530402
4,0,0.7,2,500,0.7033760792470036
5,0,0.7,2,600,0.97850938826321
6,0,0.7,2,700,1.0249288761225255
7,0,0.7,2,800,1.1585832986200546
8,0,0.7,2,900,1.2531297447272507
9,0,0.7,2,1000,1.2650544037241411
10,0,0.7,2,2000,1.2703628470603185
11,0,0.7,2,3000,1.0648650073500687
12,0,0.7,2,4000,1.0513776922697093
13,0,0.7,2,5000,1.0255984231486113
14,0,0.7,2,6000,1.0012522625665545
15,0,0.7,2,7000,0.9838150635223286
16,0,0.7,2,8000,0.9832875313654322
17,0,0.7,2,9000,1.03717577970208
18,0,0.7,2,10000,0.9939857400589474
19,0,0.7,2,20000,0.930786958731953
20,0,0.7,2,30000,0.9477415660750874
21,0,0.7,2,40000,0.9201355287324899
22,0,0.7,2,50000,0.9239050106461927
23,0,0.7,2,60000,0.9176351272333093
24,0,0.7,2,70000,0.9249440796106768
25,0,0.7,2,80000,0.9184750608079496
26,0,0.7,2,90000,0.9155655158338295
27,0,0.7,2,100000,0.9133858696938446
28,1,0.7,2,100,0.5682029552491984
29,1,0.7,2,200,0.5409415470673202
30,1,0.7,2,300,0.5407496185029452
31,1,0.7,2,400,0.6058382344244788
32,1,0.7,2,500,0.7342386580068275
33,1,0.7,2,600,0.7236760416954796
34,1,0.7,2,700,0.9066929352069881
35,1,0.7,2,800,1.1041495953737164
36,1,0.7,2,900,1.0695665542111423
37,1,0.7,2,1000,1.0774190600614042
38,1,0.7,2,2000,0.8375568869515857
39,1,0.7,2,3000,0.8638459565413533
40,1,0.7,2,4000,0.9041414360910142
41,1,0.7,2,5000,0.8856786059048729
42,1,0.7,2,6000,0.932630918631875
43,1,0.7,2,7000,0.9135749977152781
44,1,0.7,2,8000,0.9233987843007355
45,1,0.7,2,9000,0.9415467909580871
46,1,0.7,2,10000,0.9701652207622603
47,1,0.7,2,20000,1.0259851993686022
48,1,0.7,2,30000,0.9702803203287682
49,1,0.7,2,40000,0.9594167036216416
