rho,number of servers,number of customers,mean waiting time
0.9,4,700,1.6872130667343472
0.9,4,800,1.711485359259822
0.9,4,900,1.7370039161253097
0.9,4,1000,1.7606838013101946
0.9,4,2000,1.8872325199997826
0.9,4,3000,1.9576035003046404
0.9,4,4000,1.9476929100235525
0.9,4,5000,1.9618879510353182
0.9,4,6000,1.9723189143167144
0.9,4,7000,1.986309930262113
0.9,4,8000,1.986573194421956
0.9,4,9000,1.9920549753061438
0.9,4,10000,1.98887043231662
0.9,4,20000,1.9913546093002568
0.9,4,30000,1.984414419129802
0.9,4,40000,1.9743457803585882
0.9,4,50000,1.9694392212919054
0.9,4,60000,1.9770519324661109
0.9,4,70000,1.9723068897205516
0.9,4,80000,1.9712855762983652
0.9,4,90000,1.9712661276673888
0.9,4,100000,1.9729856130053558
0.95,1,100,5.7440911916615915
0.95,1,200,7.883050522867113
0.95,1,300,9.252869179329586
0.95,1,400,10.275951245237737
0.95,1,500,11.078577815222722
0.95,1,600,11.687063897986105
0.95,1,700,12.125993337343576
0.95,1,800,12.507768681181318
0.95,1,900,12.887062695019972
0.95,1,1000,13.217239151605146
0.95,1,2000,15.343180619577192
0.95,1,3000,16.343411210209943
0.95,1,4000,16.963868349526713
0.95,1,5000,17.32737286751716
0.95,1,6000,17.55221177811724
0.95,1,7000,17.83123550498229
0.95,1,8000,17.973817709181354
0.95,1,9000,18.057218323269062
0.95,1,10000,18.13763132655726
0.95,1,20000,18.398637122531937
0.95,1,30000,18.597952061142085
0.95,1,40000,18.766528328648846
0.95,1,50000,18.896491386958093
0.95,1,60000,18.92505994577386
0.95,1,70000,18.915627775469808
0.95,1,80000,18.927713283103216
0.95,1,90000,18.866832045219354
0.95,1,100000,18.8570824577492
0.95,2,100,2.5151040294086604
0.95,2,200,3.3325914778355057
0.95,2,300,3.981375686936644
0.95,2,400,4.515035266330113
0.95,2,500,4.972869090032847
0.95,2,600,5.3556151019471026
0.95,2,700,5.622691304567092
0.95,2,800,5.84557281865315
0.95,2,900,6.06673084922547
0.95,2,1000,6.279075838438594
0.95,2,2000,7.29195730118434
0.95,2,3000,7.934701344439275
0.95,2,4000,8.209320811788595
0.95,2,5000,8.423083022641274
0.95,2,6000,8.479130791104039
0.95,2,7000,8.538532215633175
0.95,2,8000,8.638051023047677
0.95,2,9000,8.742917485222092
0.95,2,10000,8.852971463930427
0.95,2,20000,9.131124130302263
0.95,2,30000,9.16853187609954
0.95,2,40000,9.191025417886223
0.95,2,50000,9.219555589749026
0.95,2,60000,9.243021304870464
0.95,2,70000,9.22688658896963
0.95,2,80000,9.211299969563628
0.95,2,90000,9.237245582716563
0.95,2,100000,9.254138466205958
0.95,4,100,1.094711688639323
0.95,4,200,1.6311791741961268
0.95,4,300,2.0007332055378297
0.95,4,400,2.2713110677902426
0.95,4,500,2.4667602910147846
0.95,4,600,2.639141845662836
0.95,4,700,2.7822226989315935
0.95,4,800,2.9050514608738096
0.95,4,900,3.0211486299408845
0.95,4,1000,3.138624881235447
0.95,4,2000,3.6928490543338874
0.95,4,3000,3.9271478963373574
0.95,4,4000,4.0662362432733845
0.95,4,5000,4.160740144090943
0.95,4,6000,4.208222300185531
0.95,4,7000,4.237632006869914
0.95,4,8000,4.2549824380426955
0.95,4,9000,4.265735841550294
0.95,4,10000,4.276903427025424
0.95,4,20000,4.336808971723848
0.95,4,30000,4.37149239284411
0.95,4,40000,4.411684793437014
0.95,4,50000,4.421551253701022
0.95,4,60000,4.408549008730198
0.95,4,70000,4.413573997729254
0.95,4,80000,4.446859263027806
0.95,4,90000,4.434720598157053
0.95,4,100000,4.434326175894536
