,run,rho,number of servers,number of customers,mean waiting time
0,0,0.9,1,100,1.6517419280437655
1,0,0.9,1,200,3.456402046581591
2,0,0.9,1,300,5.308613452103294
3,0,0.9,1,400,4.544080317169207
4,0,0.9,1,500,4.283368108750565
5,0,0.9,1,600,4.051906872797932
6,0,0.9,1,700,3.8997382323167313
7,0,0.9,1,800,4.136863226069099
8,0,0.9,1,900,3.890429309586195
9,0,0.9,1,1000,4.651836097530282
10,0,0.9,1,2000,5.01310750295156
11,0,0.9,1,3000,4.899376598053031
12,0,0.9,1,4000,4.678278579853973
13,0,0.9,1,5000,4.730138868432818
14,0,0.9,1,6000,5.089266899384972
15,0,0.9,1,7000,5.165376361258326
16,0,0.9,1,8000,5.023725229821661
17,0,0.9,1,9000,4.825739347511409
18,0,0.9,1,10000,4.718242633341925
19,0,0.9,1,20000,4.626577720506554
20,0,0.9,1,30000,4.525483536698744
21,0,0.9,1,40000,4.490784898057618
22,0,0.9,1,50000,4.311105814678174
23,0,0.9,1,60000,4.330026860027698
24,0,0.9,1,70000,4.224752273153074
25,0,0.9,1,80000,4.215730784772358
26,0,0.9,1,90000,4.29750936432646
27,0,0.9,1,100000,4.333855797834829
28,1,0.9,1,100,2.0292962451715204
29,1,0.9,1,200,6.972351417590829
30,1,0.9,1,300,9.672957159976768
31,1,0.9,1,400,8.396140947514567
32,1,0.9,1,500,7.50739678557367
33,1,0.9,1,600,6.580709185802004
34,1,0.9,1,700,5.9718093459621056
35,1,0.9,1,800,5.577113567015299
36,1,0.9,1,900,5.3014923397488305
37,1,0.9,1,1000,4.9046761539082135
38,1,0.9,1,2000,5.263411642068573
39,1,0.9,1,3000,5.167390040034209
40,1,0.9,1,4000,5.314489466519895
41,1,0.9,1,5000,4.854923971627575
42,1,0.9,1,6000,5.019519918157979
43,1,0.9,1,7000,5.383537521274154
44,1,0.9,1,8000,5.078288190293683
45,1,0.9,1,9000,4.993274596771251
46,1,0.9,1,10000,4.77157271376404
47,1,0.9,1,20000,4.793590858099481
48,1,0.9,1,30000,4.626190343889762
49,1,0.9,1,40000,4.496884164496964
50,1,0.9,1,50000,4.455224982080422
51,1,0.9,1,60000,4.4331475825406805
52,1,0.9,1,70000,4.4530332477656485
53,1,0.9,1,80000,4.34845154743458
54,1,0.9,1,90000,4.40029885395042
55,1,0.9,1,100000,4.337733869960235
56,2,0.9,1,100,5.470145087468117
57,2,0.9,1,200,3.8710101921074536
58,2,0.9,1,300,3.3863525891121022
59,2,0.9,1,400,3.2758137225901742
60,2,0.9,1,500,3.7614005875742604
61,2,0.9,1,600,3.7438360437353526
62,2,0.9,1,700,3.524687010068714
63,2,0.9,1,800,3.3644401599967795
64,2,0.9,1,900,3.2337708199646116
65,2,0.9,1,1000,3.1149462985569563
66,2,0.9,1,2000,3.503272497386375
67,2,0.9,1,3000,5.656124340951083
68,2,0.9,1,4000,5.4612469895187274
69,2,0.9,1,5000,5.226463801657521
70,2,0.9,1,6000,5.81152563597299
71,2,0.9,1,7000,5.384279624167804
72,2,0.9,1,8000,5.133298341594877
73,2,0.9,1,9000,5.054579479375286
74,2,0.9,1,10000,4.813886995505123
75,2,0.9,1,20000,4.85203357808967
76,2,0.9,1,30000,4.617569153330033
77,2,0.9,1,40000,4.688358980124314
78,2,0.9,1,50000,4.6720052114853114
79,2,0.9,1,60000,4.786697081805583
80,2,0.9,1,70000,4.7573029979069545
81,2,0.9,1,80000,4.664919510893238
82,2,0.9,1,90000,4.634135527743404
83,2,0.9,1,100000,4.59382081900648
84,3,0.9,1,100,4.1660215582337115
85,3,0.9,1,200,3.5129173141044476
86,3,0.9,1,300,3.1516248919858287
87,3,0.9,1,400,4.032687996547209
88,3,0.9,1,500,4.013637592722894
89,3,0.9,1,600,4.004023721849795
90,3,0.9,1,700,4.412911147308672
91,3,0.9,1,800,4.412844324379044
92,3,0.9,1,900,5.380444013546775
93,3,0.9,1,1000,6.290262669950663
94,3,0.9,1,2000,8.711050227651562
95,3,0.9,1,3000,6.513261648542478
