rho,number of servers,number of customers,mean waiting time
0.9,4,4000,0.7324564787724172
0.9,4,5000,0.6369310436458488
0.9,4,6000,0.583875152556505
0.9,4,7000,0.5387867433828885
0.9,4,8000,0.4921058560798228
0.9,4,9000,0.47754377065011844
0.9,4,10000,0.44581460850872034
0.9,4,20000,0.3465569074026209
0.9,4,30000,0.2740260915402678
0.9,4,40000,0.24296369597627834
0.9,4,50000,0.21042317987117562
0.9,4,60000,0.19139752639110147
0.9,4,70000,0.1704716580429386
0.9,4,80000,0.16570791575056737
0.9,4,90000,0.15229147507564406
0.9,4,100000,0.14459614744597016
0.95,1,100,3.941303753594175
0.95,1,200,5.120961464786944
0.95,1,300,6.103831451332624
0.95,1,400,7.007335597400476
0.95,1,500,7.570664781480842
0.95,1,600,7.806548307936991
0.95,1,700,7.867771588361939
0.95,1,800,8.029373276712006
0.95,1,900,8.286066891266392
0.95,1,1000,8.445460276247124
0.95,1,2000,9.474183592092023
0.95,1,3000,9.46884139245509
0.95,1,4000,9.112707594502474
0.95,1,5000,8.682942076713939
0.95,1,6000,7.932665577100947
0.95,1,7000,7.639244856569517
0.95,1,8000,7.320256316490911
0.95,1,9000,7.08184638637223
0.95,1,10000,6.88511608855614
0.95,1,20000,5.285657919752565
0.95,1,30000,4.420857517183594
0.95,1,40000,3.9222041191176418
0.95,1,50000,3.394430033381299
0.95,1,60000,3.1069418684866643
0.95,1,70000,2.8170392963631548
0.95,1,80000,2.6297922576666903
0.95,1,90000,2.4703185509389254
0.95,1,100000,2.346172096291058
0.95,2,100,1.951901926801299
0.95,2,200,2.3322637153957366
0.95,2,300,2.6245479380891017
0.95,2,400,2.8351288641088073
0.95,2,500,3.021091578369729
0.95,2,600,3.2127655658111194
0.95,2,700,3.4189580336656045
0.95,2,800,3.581994392179006
0.95,2,900,3.7022523275784662
0.95,2,1000,3.8007901940350197
0.95,2,2000,3.9636595814802678
0.95,2,3000,4.037486051005383
0.95,2,4000,3.976288411656035
0.95,2,5000,4.005711680145871
0.95,2,6000,3.840175330673355
0.95,2,7000,3.6041734696856333
0.95,2,8000,3.4095430644203972
0.95,2,9000,3.3149128013105034
0.95,2,10000,3.2723958884229214
0.95,2,20000,2.8275025234400544
0.95,2,30000,2.215877603922022
0.95,2,40000,1.9065648502527042
0.95,2,50000,1.6699603058589214
0.95,2,60000,1.5347581608337717
0.95,2,70000,1.4253902137611238
0.95,2,80000,1.3503237259232281
0.95,2,90000,1.2465846364606812
0.95,2,100000,1.1703120267363858
0.95,4,100,0.914016470065229
0.95,4,200,1.2993647585668153
0.95,4,300,1.556654830714822
0.95,4,400,1.7032956430599222
0.95,4,500,1.7885288942539275
0.95,4,600,1.8499976051396547
0.95,4,700,1.9177253715476898
0.95,4,800,1.9750130475509777
0.95,4,900,2.027953151704928
0.95,4,1000,2.063521061364141
0.95,4,2000,2.180870703579139
0.95,4,3000,2.2892539147022184
0.95,4,4000,2.28869306528181
0.95,4,5000,2.1599999408456747
0.95,4,6000,2.082966557647714
0.95,4,7000,1.9605876856537667
0.95,4,8000,1.849925324983318
0.95,4,9000,1.7612528503911755
0.95,4,10000,1.6993869050115045
0.95,4,20000,1.2083277373803132
0.95,4,30000,1.046116752090654
0.95,4,40000,0.901139160404279
0.95,4,50000,0.8218232040573502
0.95,4,60000,0.7341982133046107
0.95,4,70000,0.6990737871704013
0.95,4,80000,0.6746910784273503
0.95,4,90000,0.6394070689854284
0.95,4,100000,0.5933409277513687
